order_id,customer_id,product_id,order_timestamp,quantity,unit_price,currency,payment_method,order_status,country,city,sales_channel,shipping_cost,discount,total_amount,created_at
21,1661,669,2024-01-08,3,100.4,USD,paypal,delivered,Chile,Santiago,mobile_app,18.8,11.8,289.40000000000003,2025-12-18 04:32:18.745153
22,1308,533,2024-08-22,2,31.0,USD,debit_card,delivered,Argentina,Sao Paulo,web,5.52,3.96,58.04,2025-12-18 04:32:18.745153
23,1769,750,2024-04-17,3,52.3,USD,credit_card,created,Brazil,Sao Paulo,mobile_app,15.76,15.23,141.67,2025-12-18 04:32:18.745153
24,1343,746,2024-06-09,3,61.88,USD,paypal,delivered,Brazil,Montevideo,web,2.42,20.77,164.87,2025-12-18 04:32:18.745153
25,1491,768,2024-07-27,1,185.24,USD,paypal,paid,Uruguay,Sao Paulo,mobile_app,8.76,18.91,166.33,2025-12-18 04:32:18.745153
26,1413,640,2024-08-27,4,49.93,USD,paypal,shipped,Argentina,Sao Paulo,web,3.99,24.11,175.61,2025-12-18 04:32:18.745153
27,1805,773,2024-11-26,1,61.4,USD,paypal,paid,Brazil,Buenos Aires,web,8.34,13.56,47.839999999999996,2025-12-18 04:32:18.745153
28,1385,595,2024-11-28,4,77.02,USD,paypal,delivered,Chile,Buenos Aires,web,5.12,15.57,292.51,2025-12-18 04:32:18.745153
29,1191,726,2024-02-19,4,134.43,USD,transfer,cancelled,Uruguay,Montevideo,mobile_app,8.72,24.31,513.4100000000001,2025-12-18 04:32:18.745153
30,1955,538,2024-01-11,3,28.06,USD,debit_card,paid,Chile,Montevideo,mobile_app,9.52,12.83,71.35,2025-12-18 04:32:18.745153
31,1276,528,2024-12-16,4,191.02,USD,paypal,cancelled,Uruguay,Montevideo,mobile_app,7.41,21.05,743.0300000000001,2025-12-18 04:32:18.745153
32,1160,744,2024-06-04,3,173.79,USD,transfer,paid,Brazil,Santiago,web,13.82,13.04,508.33,2025-12-18 04:32:18.745153
33,1459,735,2024-03-10,3,117.56,USD,debit_card,cancelled,Uruguay,Santiago,mobile_app,18.54,12.53,340.15000000000003,2025-12-18 04:32:18.745153
34,1313,684,2024-06-17,4,136.44,USD,credit_card,paid,Argentina,Montevideo,mobile_app,9.21,22.81,522.95,2025-12-18 04:32:18.745153
35,1021,771,2024-09-28,3,8.25,USD,paypal,cancelled,Chile,Santiago,mobile_app,5.46,5.25,19.5,2025-12-18 04:32:18.745153
36,1252,735,2024-03-08,3,71.09,USD,transfer,shipped,Argentina,Sao Paulo,web,6.87,10.16,203.11,2025-12-18 04:32:18.745153
37,1747,738,2024-12-20,3,160.15,USD,credit_card,created,Chile,Montevideo,mobile_app,17.37,6.73,473.72,2025-12-18 04:32:18.745153
38,1856,765,2024-09-08,2,20.11,USD,transfer,paid,Chile,Montevideo,mobile_app,12.29,10.77,29.45,2025-12-18 04:32:18.745153
39,1560,564,2024-02-17,3,60.05,USD,debit_card,shipped,Uruguay,Santiago,web,10.19,6.91,173.23999999999998,2025-12-18 04:32:18.745153
40,1474,676,2024-07-02,2,119.13,USD,debit_card,created,Brazil,Buenos Aires,web,4.69,17.38,220.88,2025-12-18 04:32:18.745153
41,1058,502,2024-11-15,2,55.0,USD,credit_card,paid,Brazil,Montevideo,web,10.1,23.95,86.05,2025-12-18 04:32:18.745153
42,1510,641,2024-07-05,3,187.13,USD,transfer,shipped,Argentina,Santiago,web,7.01,23.6,537.79,2025-12-18 04:32:18.745153
43,1681,657,2024-03-30,3,30.56,USD,paypal,shipped,Uruguay,Santiago,web,18.98,10.94,80.74,2025-12-18 04:32:18.745153
44,1475,645,2024-11-27,2,160.49,USD,paypal,shipped,Brazil,Buenos Aires,web,17.91,29.66,291.32,2025-12-18 04:32:18.745153
45,1699,792,2024-05-18,2,104.05,USD,credit_card,delivered,Chile,Montevideo,mobile_app,3.51,17.82,190.28,2025-12-18 04:32:18.745153
46,1975,652,2024-12-22,3,151.31,USD,credit_card,cancelled,Chile,Buenos Aires,mobile_app,11.3,11.98,441.95,2025-12-18 04:32:18.745153
47,1782,692,2024-03-29,3,65.59,USD,credit_card,created,Uruguay,Sao Paulo,web,6.05,25.07,171.70000000000002,2025-12-18 04:32:18.745153
48,1189,572,2024-09-30,4,105.33,USD,transfer,cancelled,Argentina,Buenos Aires,mobile_app,9.39,21.9,399.42,2025-12-18 04:32:18.745153
49,1957,639,2024-01-19,2,172.08,USD,paypal,cancelled,Uruguay,Buenos Aires,web,17.78,22.48,321.68,2025-12-18 04:32:18.745153
50,1686,686,2024-11-06,2,96.04,USD,paypal,cancelled,Argentina,Santiago,mobile_app,11.5,5.88,186.20000000000002,2025-12-18 04:32:18.745153
51,1957,792,2024-12-23,4,75.15,USD,paypal,shipped,Uruguay,Buenos Aires,web,8.02,14.05,286.55,2025-12-18 04:32:18.745153
52,1562,560,2024-06-02,2,109.55,USD,credit_card,cancelled,Chile,Sao Paulo,web,5.74,25.85,193.25,2025-12-18 04:32:18.745153
53,1875,697,2024-09-16,1,144.89,USD,paypal,delivered,Uruguay,Santiago,mobile_app,16.41,15.12,129.76999999999998,2025-12-18 04:32:18.745153
54,1566,794,2024-04-17,2,91.49,USD,debit_card,paid,Brazil,Sao Paulo,mobile_app,13.24,20.5,162.48,2025-12-18 04:32:18.745153
55,1243,510,2024-10-11,4,188.08,USD,credit_card,shipped,Brazil,Buenos Aires,mobile_app,10.43,17.64,734.6800000000001,2025-12-18 04:32:18.745153
56,1831,561,2024-02-28,1,62.51,USD,paypal,created,Uruguay,Sao Paulo,mobile_app,5.91,25.27,37.239999999999995,2025-12-18 04:32:18.745153
57,1504,725,2024-05-04,3,97.72,USD,transfer,paid,Argentina,Sao Paulo,mobile_app,8.02,8.54,284.61999999999995,2025-12-18 04:32:18.745153
58,1130,652,2024-12-19,4,152.6,USD,credit_card,paid,Argentina,Buenos Aires,mobile_app,19.28,17.26,593.14,2025-12-18 04:32:18.745153
59,1484,698,2024-09-29,4,139.38,USD,debit_card,paid,Chile,Buenos Aires,mobile_app,11.36,3.7,553.8199999999999,2025-12-18 04:32:18.745153
60,1818,551,2024-04-16,3,173.41,USD,debit_card,cancelled,Chile,Santiago,mobile_app,9.21,20.71,499.52000000000004,2025-12-18 04:32:18.745153
61,1646,759,2024-10-25,4,199.38,USD,transfer,cancelled,Argentina,Santiago,web,11.39,21.96,775.56,2025-12-18 04:32:18.745153
62,1020,558,2024-09-01,2,88.24,USD,transfer,shipped,Uruguay,Montevideo,mobile_app,16.02,1.29,175.19,2025-12-18 04:32:18.745153
63,1840,571,2024-12-01,3,26.67,USD,credit_card,cancelled,Chile,Santiago,mobile_app,8.12,20.27,59.74000000000001,2025-12-18 04:32:18.745153
64,1166,647,2024-09-03,4,10.93,USD,credit_card,cancelled,Argentina,Buenos Aires,web,5.22,12.44,31.28,2025-12-18 04:32:18.745153
65,1273,562,2024-01-08,3,146.74,USD,debit_card,cancelled,Argentina,Sao Paulo,web,12.53,3.72,436.5,2025-12-18 04:32:18.745153
66,1387,742,2024-05-20,3,175.43,USD,transfer,shipped,Uruguay,Sao Paulo,web,13.97,12.6,513.6899999999999,2025-12-18 04:32:18.745153
67,1600,606,2024-12-27,3,48.04,USD,credit_card,shipped,Brazil,Santiago,web,14.83,5.83,138.29,2025-12-18 04:32:18.745153
68,1315,725,2024-01-08,1,35.9,USD,debit_card,delivered,Argentina,Santiago,mobile_app,17.88,12.47,23.43,2025-12-18 04:32:18.745153
69,1013,717,2024-12-17,4,17.13,USD,transfer,delivered,Chile,Buenos Aires,mobile_app,8.68,11.53,56.989999999999995,2025-12-18 04:32:18.745153
70,1241,740,2024-04-03,1,165.43,USD,debit_card,delivered,Uruguay,Sao Paulo,web,3.36,22.15,143.28,2025-12-18 04:32:18.745153
71,1776,758,2024-11-16,4,65.72,USD,paypal,delivered,Uruguay,Montevideo,web,19.25,23.23,239.65,2025-12-18 04:32:18.745153
72,1345,761,2024-02-08,2,83.33,USD,transfer,paid,Uruguay,Montevideo,mobile_app,9.83,18.21,148.45,2025-12-18 04:32:18.745153
73,1564,504,2024-03-21,2,103.04,USD,credit_card,paid,Brazil,Santiago,mobile_app,13.22,0.68,205.4,2025-12-18 04:32:18.745153
74,1897,760,2024-07-05,2,168.69,USD,credit_card,delivered,Brazil,Montevideo,mobile_app,13.99,27.93,309.45,2025-12-18 04:32:18.745153
75,1339,553,2024-03-24,4,131.91,USD,paypal,delivered,Chile,Buenos Aires,mobile_app,11.84,20.59,507.05,2025-12-18 04:32:18.745153
76,1091,546,2024-03-28,3,124.94,USD,transfer,created,Chile,Montevideo,web,5.69,1.03,373.79,2025-12-18 04:32:18.745153
77,1366,714,2024-08-29,3,39.26,USD,debit_card,paid,Uruguay,Santiago,mobile_app,15.59,24.56,93.22,2025-12-18 04:32:18.745153
78,1955,676,2024-12-07,1,105.07,USD,credit_card,created,Chile,Buenos Aires,web,16.47,6.01,99.05999999999999,2025-12-18 04:32:18.745153
79,1454,508,2024-04-02,1,144.5,USD,paypal,created,Argentina,Sao Paulo,web,11.95,17.38,127.12,2025-12-18 04:32:18.745153
80,1427,598,2024-03-26,2,194.79,USD,paypal,cancelled,Brazil,Buenos Aires,web,10.79,14.0,375.58,2025-12-18 04:32:18.745153
81,1508,519,2024-02-13,1,44.27,USD,transfer,shipped,Uruguay,Santiago,mobile_app,4.05,12.6,31.67,2025-12-18 04:32:18.745153
82,1775,740,2024-05-16,4,6.86,USD,transfer,paid,Uruguay,Santiago,web,3.51,26.69,0.75,2025-12-18 04:32:18.745153
83,1942,560,2024-03-14,4,19.68,USD,credit_card,delivered,Argentina,Montevideo,mobile_app,8.11,13.12,65.6,2025-12-18 04:32:18.745153
84,1034,677,2024-02-05,1,78.29,USD,paypal,delivered,Argentina,Montevideo,web,7.6,2.26,76.03,2025-12-18 04:32:18.745153
85,1205,561,2024-04-10,1,165.01,USD,debit_card,shipped,Argentina,Sao Paulo,mobile_app,19.17,28.4,136.60999999999999,2025-12-18 04:32:18.745153
86,1080,644,2024-06-04,1,6.39,USD,paypal,paid,Argentina,Sao Paulo,web,16.11,27.62,0.0,2025-12-18 04:32:18.745153
87,1931,715,2024-09-11,1,94.06,USD,debit_card,delivered,Uruguay,Santiago,web,13.88,20.53,73.53,2025-12-18 04:32:18.745153
88,1561,502,2024-06-19,2,69.2,USD,debit_card,delivered,Brazil,Santiago,mobile_app,11.32,14.04,124.36000000000001,2025-12-18 04:32:18.745153
89,1871,659,2024-08-03,2,15.23,USD,credit_card,cancelled,Brazil,Santiago,mobile_app,5.01,2.79,27.67,2025-12-18 04:32:18.745153
90,1387,726,2024-06-18,1,92.8,USD,paypal,created,Argentina,Sao Paulo,web,19.61,23.72,69.08,2025-12-18 04:32:18.745153
91,1001,768,2024-09-08,4,54.68,USD,debit_card,delivered,Chile,Santiago,web,8.75,2.26,216.46,2025-12-18 04:32:18.745153
92,1389,619,2024-12-25,2,73.62,USD,transfer,paid,Uruguay,Sao Paulo,mobile_app,3.92,2.06,145.18,2025-12-18 04:32:18.745153
93,1565,588,2024-11-17,4,142.59,USD,debit_card,shipped,Brazil,Santiago,web,10.89,16.12,554.24,2025-12-18 04:32:18.745153
94,1105,567,2024-02-24,3,106.7,USD,transfer,cancelled,Argentina,Buenos Aires,mobile_app,17.73,4.8,315.3,2025-12-18 04:32:18.745153
95,1771,597,2024-03-31,4,29.31,USD,transfer,paid,Chile,Buenos Aires,mobile_app,17.97,0.23,117.00999999999999,2025-12-18 04:32:18.745153
96,1821,766,2024-10-04,1,192.48,USD,paypal,cancelled,Chile,Santiago,web,2.2,12.69,179.79,2025-12-18 04:32:18.745153
97,1476,604,2024-04-10,3,129.0,USD,transfer,created,Argentina,Buenos Aires,mobile_app,17.95,4.12,382.88,2025-12-18 04:32:18.745153
98,1702,622,2024-06-03,2,154.34,USD,debit_card,delivered,Uruguay,Sao Paulo,web,6.89,4.82,303.86,2025-12-18 04:32:18.745153
99,1401,528,2024-12-14,2,20.45,USD,transfer,paid,Brazil,Montevideo,mobile_app,2.7,2.31,38.589999999999996,2025-12-18 04:32:18.745153
100,1729,636,2024-12-29,3,14.18,USD,paypal,shipped,Chile,Buenos Aires,mobile_app,17.26,6.15,36.39,2025-12-18 04:32:18.745153
101,1555,694,2024-05-20,4,8.79,USD,credit_card,created,Brazil,Montevideo,web,17.55,21.46,13.699999999999996,2025-12-18 04:32:18.745153
102,1161,725,2024-06-21,2,41.81,USD,debit_card,created,Brazil,Buenos Aires,mobile_app,12.73,24.27,59.35000000000001,2025-12-18 04:32:18.745153
103,1201,669,2024-01-10,1,85.81,USD,debit_card,cancelled,Chile,Sao Paulo,web,12.34,13.58,72.23,2025-12-18 04:32:18.745153
104,1957,508,2024-08-15,3,187.49,USD,paypal,created,Argentina,Buenos Aires,mobile_app,16.64,15.2,547.27,2025-12-18 04:32:18.745153
105,1995,539,2024-09-21,1,94.13,USD,paypal,paid,Chile,Buenos Aires,mobile_app,16.15,0.98,93.14999999999999,2025-12-18 04:32:18.745153
106,1269,524,2024-09-04,3,61.6,USD,paypal,cancelled,Chile,Santiago,mobile_app,18.02,2.08,182.72,2025-12-18 04:32:18.745153
107,1862,760,2024-09-03,2,114.58,USD,paypal,created,Uruguay,Montevideo,mobile_app,11.95,7.73,221.43,2025-12-18 04:32:18.745153
108,1815,725,2024-06-03,4,26.83,USD,debit_card,shipped,Brazil,Montevideo,web,19.42,16.32,91.0,2025-12-18 04:32:18.745153
109,1270,623,2024-02-03,3,123.85,USD,credit_card,paid,Argentina,Sao Paulo,mobile_app,19.93,22.19,349.35999999999996,2025-12-18 04:32:18.745153
110,1455,537,2024-05-08,3,115.84,USD,transfer,shipped,Brazil,Sao Paulo,mobile_app,4.1,18.15,329.37,2025-12-18 04:32:18.745153
111,1461,750,2024-06-08,1,159.44,USD,transfer,shipped,Chile,Montevideo,mobile_app,17.29,11.76,147.68,2025-12-18 04:32:18.745153
112,1726,675,2024-03-29,2,197.4,USD,credit_card,cancelled,Argentina,Santiago,web,11.0,3.55,391.25,2025-12-18 04:32:18.745153
113,1251,589,2024-04-02,1,53.92,USD,credit_card,delivered,Argentina,Santiago,web,8.98,23.42,30.5,2025-12-18 04:32:18.745153
114,1701,536,2024-11-22,2,104.38,USD,credit_card,cancelled,Argentina,Montevideo,web,13.04,10.91,197.85,2025-12-18 04:32:18.745153
115,1295,675,2024-08-28,1,182.23,USD,paypal,paid,Argentina,Buenos Aires,web,3.01,22.08,160.14999999999998,2025-12-18 04:32:18.745153
116,1724,783,2024-11-18,3,158.11,USD,debit_card,paid,Uruguay,Montevideo,mobile_app,11.12,15.39,458.94000000000005,2025-12-18 04:32:18.745153
117,1719,580,2024-04-26,1,100.04,USD,debit_card,cancelled,Argentina,Buenos Aires,mobile_app,17.68,22.16,77.88000000000001,2025-12-18 04:32:18.745153
118,1748,613,2024-04-03,4,189.35,USD,debit_card,delivered,Chile,Montevideo,mobile_app,5.84,27.22,730.18,2025-12-18 04:32:18.745153
119,1337,539,2024-06-11,2,16.16,USD,paypal,cancelled,Uruguay,Buenos Aires,web,9.68,27.63,4.690000000000001,2025-12-18 04:32:18.745153
120,1878,723,2024-04-08,2,186.54,USD,debit_card,paid,Chile,Santiago,web,18.91,16.05,357.03,2025-12-18 04:32:18.745153
121,1052,614,2024-04-22,3,14.85,USD,paypal,delivered,Chile,Montevideo,mobile_app,9.71,15.35,29.199999999999996,2025-12-18 04:32:18.745153
122,1791,685,2024-12-24,2,111.72,USD,debit_card,paid,Brazil,Sao Paulo,mobile_app,8.45,7.97,215.47,2025-12-18 04:32:18.745153
123,1921,555,2024-03-31,4,178.64,USD,credit_card,delivered,Argentina,Buenos Aires,mobile_app,9.93,28.07,686.4899999999999,2025-12-18 04:32:18.745153
124,1216,539,2024-12-11,1,56.23,USD,transfer,delivered,Argentina,Santiago,web,11.35,13.74,42.489999999999995,2025-12-18 04:32:18.745153
125,1763,539,2024-07-24,3,97.09,USD,transfer,cancelled,Chile,Sao Paulo,mobile_app,13.38,3.83,287.44,2025-12-18 04:32:18.745153
126,1187,736,2024-01-17,4,68.24,USD,paypal,cancelled,Argentina,Santiago,mobile_app,16.41,12.98,259.97999999999996,2025-12-18 04:32:18.745153
127,1379,788,2024-09-30,2,190.67,USD,debit_card,cancelled,Uruguay,Buenos Aires,web,10.14,3.81,377.53,2025-12-18 04:32:18.745153
128,1492,761,2024-06-21,2,165.61,USD,transfer,delivered,Brazil,Montevideo,web,16.71,15.08,316.14000000000004,2025-12-18 04:32:18.745153
129,1040,715,2024-04-25,4,143.26,USD,credit_card,delivered,Argentina,Santiago,mobile_app,11.61,16.84,556.1999999999999,2025-12-18 04:32:18.745153
130,1156,646,2024-12-14,1,119.59,USD,credit_card,paid,Argentina,Montevideo,web,8.09,10.13,109.46000000000001,2025-12-18 04:32:18.745153
131,1014,667,2024-06-29,1,165.02,USD,credit_card,shipped,Uruguay,Montevideo,mobile_app,13.84,2.15,162.87,2025-12-18 04:32:18.745153
132,1812,591,2024-03-31,3,81.49,USD,paypal,cancelled,Brazil,Santiago,mobile_app,14.92,28.31,216.15999999999997,2025-12-18 04:32:18.745153
133,1064,558,2024-03-22,2,92.27,USD,paypal,paid,Uruguay,Santiago,mobile_app,12.04,23.2,161.34,2025-12-18 04:32:18.745153
134,1856,558,2024-11-19,4,147.35,USD,debit_card,paid,Chile,Santiago,mobile_app,3.02,25.17,564.23,2025-12-18 04:32:18.745153
135,1838,668,2024-04-23,1,74.76,USD,credit_card,created,Chile,Montevideo,web,5.06,11.01,63.75000000000001,2025-12-18 04:32:18.745153
136,1520,768,2024-09-13,3,17.46,USD,debit_card,cancelled,Argentina,Sao Paulo,web,7.14,22.82,29.560000000000002,2025-12-18 04:32:18.745153
137,1343,544,2024-02-27,2,19.5,USD,debit_card,paid,Brazil,Buenos Aires,web,7.09,14.56,24.439999999999998,2025-12-18 04:32:18.745153
138,1128,680,2024-06-02,2,27.5,USD,credit_card,created,Chile,Sao Paulo,mobile_app,14.12,6.03,48.97,2025-12-18 04:32:18.745153
139,1647,669,2024-12-30,3,174.59,USD,debit_card,cancelled,Uruguay,Montevideo,mobile_app,2.33,3.73,520.04,2025-12-18 04:32:18.745153
140,1471,690,2024-04-25,3,97.08,USD,transfer,delivered,Chile,Santiago,mobile_app,15.6,10.35,280.89,2025-12-18 04:32:18.745153
141,1062,654,2024-12-08,1,144.01,USD,paypal,created,Chile,Santiago,web,6.78,4.13,139.88,2025-12-18 04:32:18.745153
142,1138,687,2024-09-22,4,81.62,USD,debit_card,delivered,Uruguay,Buenos Aires,web,7.58,29.95,296.53000000000003,2025-12-18 04:32:18.745153
143,1498,506,2024-11-10,2,55.45,USD,credit_card,shipped,Argentina,Buenos Aires,mobile_app,11.5,1.48,109.42,2025-12-18 04:32:18.745153
144,1592,632,2024-07-21,4,72.7,USD,paypal,shipped,Brazil,Sao Paulo,web,5.89,13.23,277.57,2025-12-18 04:32:18.745153
145,1391,734,2024-02-10,2,159.87,USD,paypal,shipped,Argentina,Sao Paulo,web,17.92,13.56,306.18,2025-12-18 04:32:18.745153
146,1674,544,2024-04-14,2,126.92,USD,debit_card,shipped,Uruguay,Buenos Aires,web,3.54,9.02,244.82,2025-12-18 04:32:18.745153
147,1418,748,2024-07-11,4,187.84,USD,transfer,paid,Chile,Montevideo,web,10.0,17.14,734.22,2025-12-18 04:32:18.745153
148,1288,530,2024-10-04,3,137.54,USD,debit_card,shipped,Brazil,Sao Paulo,mobile_app,17.29,4.5,408.12,2025-12-18 04:32:18.745153
149,1378,522,2024-12-19,1,116.19,USD,transfer,paid,Argentina,Santiago,web,13.09,23.52,92.67,2025-12-18 04:32:18.745153
150,1772,659,2024-08-24,2,123.99,USD,paypal,paid,Uruguay,Santiago,mobile_app,7.26,9.97,238.01,2025-12-18 04:32:18.745153
151,1489,657,2024-08-08,3,188.76,USD,debit_card,cancelled,Chile,Montevideo,web,9.57,17.74,548.54,2025-12-18 04:32:18.745153
152,1230,538,2024-03-08,2,158.7,USD,credit_card,paid,Chile,Buenos Aires,mobile_app,14.72,21.47,295.92999999999995,2025-12-18 04:32:18.745153
153,1040,581,2024-07-15,1,9.69,USD,debit_card,paid,Argentina,Sao Paulo,mobile_app,19.52,26.67,0.0,2025-12-18 04:32:18.745153
154,1027,757,2024-09-12,2,109.16,USD,transfer,shipped,Uruguay,Santiago,web,18.08,25.07,193.25,2025-12-18 04:32:18.745153
155,1134,705,2024-05-18,1,139.23,USD,transfer,paid,Chile,Buenos Aires,mobile_app,8.16,18.25,120.97999999999999,2025-12-18 04:32:18.745153
156,1200,576,2024-11-07,1,151.0,USD,debit_card,delivered,Chile,Sao Paulo,mobile_app,19.97,11.65,139.35,2025-12-18 04:32:18.745153
157,1839,511,2024-05-28,2,46.56,USD,transfer,shipped,Brazil,Montevideo,web,2.06,15.1,78.02000000000001,2025-12-18 04:32:18.745153
158,1779,794,2024-04-08,2,174.1,USD,paypal,created,Chile,Santiago,mobile_app,2.5,23.06,325.14,2025-12-18 04:32:18.745153
159,1929,723,2024-03-16,1,191.39,USD,debit_card,shipped,Argentina,Montevideo,web,16.83,26.33,165.06,2025-12-18 04:32:18.745153
160,1032,512,2024-10-08,3,51.16,USD,transfer,paid,Uruguay,Montevideo,mobile_app,5.59,3.11,150.36999999999998,2025-12-18 04:32:18.745153
161,1047,545,2024-04-18,4,177.11,USD,debit_card,delivered,Uruguay,Montevideo,web,3.09,11.55,696.8900000000001,2025-12-18 04:32:18.745153
162,1502,654,2024-07-06,1,23.91,USD,debit_card,shipped,Brazil,Sao Paulo,web,6.27,23.28,0.629999999999999,2025-12-18 04:32:18.745153
163,1406,612,2024-07-17,2,15.86,USD,credit_card,delivered,Uruguay,Montevideo,web,9.67,12.95,18.77,2025-12-18 04:32:18.745153
164,1573,732,2024-10-29,2,30.2,USD,debit_card,created,Argentina,Sao Paulo,web,15.15,9.97,50.43,2025-12-18 04:32:18.745153
165,1727,516,2024-11-22,3,16.26,USD,credit_card,created,Chile,Sao Paulo,web,13.24,12.34,36.44,2025-12-18 04:32:18.745153
166,1804,722,2024-06-02,4,169.78,USD,transfer,cancelled,Brazil,Montevideo,mobile_app,6.28,18.09,661.03,2025-12-18 04:32:18.745153
167,1098,687,2024-02-09,1,16.51,USD,credit_card,cancelled,Uruguay,Montevideo,mobile_app,11.06,29.99,0.0,2025-12-18 04:32:18.745153
168,1683,662,2024-05-12,1,57.97,USD,credit_card,shipped,Brazil,Buenos Aires,web,18.67,14.79,43.18,2025-12-18 04:32:18.745153
169,1871,573,2024-05-11,4,25.23,USD,credit_card,cancelled,Brazil,Santiago,mobile_app,16.67,6.25,94.67,2025-12-18 04:32:18.745153
170,1725,732,2024-10-05,1,62.61,USD,paypal,delivered,Uruguay,Buenos Aires,mobile_app,7.82,4.89,57.72,2025-12-18 04:32:18.745153
171,1986,723,2024-12-27,4,22.66,USD,credit_card,cancelled,Brazil,Santiago,mobile_app,19.68,1.27,89.37,2025-12-18 04:32:18.745153
172,1546,559,2024-03-24,2,135.26,USD,debit_card,delivered,Uruguay,Santiago,web,14.76,16.76,253.76,2025-12-18 04:32:18.745153
173,1960,721,2024-08-29,4,31.0,USD,credit_card,cancelled,Argentina,Buenos Aires,web,3.12,16.34,107.66,2025-12-18 04:32:18.745153
174,1738,536,2024-04-25,1,171.11,USD,debit_card,cancelled,Uruguay,Buenos Aires,mobile_app,2.63,6.16,164.95000000000002,2025-12-18 04:32:18.745153
175,1612,777,2024-04-18,4,164.35,USD,credit_card,cancelled,Chile,Santiago,web,5.03,20.86,636.54,2025-12-18 04:32:18.745153
176,1942,695,2024-08-08,3,7.66,USD,paypal,paid,Uruguay,Santiago,web,15.1,22.23,0.75,2025-12-18 04:32:18.745153
177,1461,741,2024-02-10,2,179.67,USD,transfer,paid,Chile,Santiago,mobile_app,5.31,7.77,351.57,2025-12-18 04:32:18.745153
178,1642,718,2024-05-26,2,10.64,USD,credit_card,cancelled,Brazil,Sao Paulo,web,11.21,10.32,10.96,2025-12-18 04:32:18.745153
179,1768,691,2024-04-21,4,51.73,USD,credit_card,delivered,Uruguay,Santiago,web,3.68,29.71,177.20999999999998,2025-12-18 04:32:18.745153
180,1004,516,2024-04-12,1,11.32,USD,paypal,shipped,Chile,Montevideo,web,18.58,11.23,0.08999999999999986,2025-12-18 04:32:18.745153
181,1217,511,2024-02-15,3,70.49,USD,credit_card,created,Uruguay,Montevideo,web,8.19,22.82,188.64999999999998,2025-12-18 04:32:18.745153
